Sample	H-0-2	H-0-3	H-0-4	H-0-5	H-3-2	H-3-3	H-3-4	H-3-5	H-4-2	H-4-3	H-4-4	H-4-5	H-5-2	H-5-3	H-5-4	H-5-5	H-6-2	H-6-3	H-6-4	H-6-5	D-0-1	D-0-2	D-0-3	D-0-5	D-3-1	D-3-2	D-3-3	D-3-5	D-4-1	D-4-2	D-4-3	D-4-5	D-5-1	D-5-2	D-5-3	D-5-5	D-6-1	D-6-2	D-6-3	D-6-5
pathogen density	6.2762	6.0897	6.1481	6.0133	6.4285	5.9092	6.1172	6.304	6.3402	6.4008	6.1658	6.0551	6.4096	6.3164	6.3758	6.3854	6.323	6.3661	6.3399	6.5145	6.287	6.063	6.0677	6.0441	6.1281	6.002	6.1542	6.3704	6.1824	6.1646	6.3997	6.3944	6.7373	6.6596	6.6478	6.7084	7.401	7.1786	7.4728	7.6086
bacteria.Shannon	6.444586955	6.461665046	6.444424632	6.449831088	6.32354937	6.322220932	6.321905146	6.342818205	6.310025005	6.320272823	6.339400049	6.331858398	6.333952253	6.340705299	6.393068262	6.397590444	6.33344184	6.36997974	6.334496185	6.344283707	6.425363588	6.408194834	6.405431774	6.419450242	6.353187133	6.334993294	6.345531145	6.354673816	6.27569826	6.279912755	6.268429362	6.263308616	6.367947864	6.371415236	6.388230475	6.396524929	6.370308348	6.367911887	6.351638624	6.3476857
vOTU.Shannon	3.607065813	3.625980386	3.630117626	3.54259799	3.710612245	3.673990071	3.625552751	3.739957379	3.663091517	3.699991676	3.787515636	3.783911214	3.595914627	3.561046887	3.503127151	3.466485976	3.565430511	3.704716597	3.663684789	3.699891792	3.4948168	3.554374786	3.533608617	3.575547776	3.747536207	3.647934874	3.751446254	3.714650497	3.711383921	3.647601317	3.653524607	3.581542309	3.741701182	3.741616471	3.661938443	3.738455348	3.731520024	3.804198001	3.80676141	3.745600514
Myoviridae	0.31451135	0.362363524	0.32577712	0.383049071	0.257272287	0.251845083	0.25433048	0.252182137	0.236823343	0.232004618	0.249884177	0.203186602	0.258078367	0.24156665	0.215602806	0.211857818	0.260193782	0.238933972	0.23686034	0.233505628	0.298391016	0.292742925	0.329009127	0.310536981	0.26197586	0.272758777	0.25474215	0.26561143	0.246981038	0.23866697	0.266323068	0.24849058	0.272260498	0.277333634	0.266553972	0.285140979	0.203529096	0.247796628	0.241097826	0.260357916
Podoviridae	0.24154849	0.247705692	0.24590214	0.223940377	0.239075358	0.237429602	0.23763528	0.243506128	0.211842424	0.206554138	0.226416977	0.212950462	0.217632668	0.22078991	0.218357236	0.213937899	0.198286434	0.241492812	0.19991687	0.207250428	0.259652905	0.252729073	0.231010178	0.234392403	0.20669472	0.184931148	0.20737889	0.2058701	0.19790849	0.202195198	0.203352936	0.183641697	0.224792087	0.220987006	0.239892423	0.215655266	0.190028606	0.182108318	0.180558599	0.182454191
Siphoviridae	0.28629525	0.261523133	0.28466707	0.273548068	0.434240046	0.442842002	0.44907629	0.439221226	0.494103765	0.494249445	0.462229784	0.469680505	0.475767715	0.48566326	0.49029625	0.49980202	0.515084305	0.466237605	0.52586493	0.510165735	0.291962196	0.293618185	0.259976707	0.277991682	0.4842501	0.520746845	0.49424795	0.50363453	0.516613834	0.525603041	0.498879395	0.535253111	0.465404034	0.466240091	0.440575597	0.466375954	0.527033896	0.527940425	0.525241158	0.525325392
Others	0.15764491	0.128407651	0.14365367	0.119462484	0.069412309	0.067883313	0.05895795	0.065090509	0.057230468	0.067191799	0.061469062	0.114182431	0.04852125	0.05198018	0.075743708	0.074402263	0.026435479	0.053335611	0.03735786	0.04907821	0.149993883	0.160909818	0.180003988	0.177078935	0.04707932	0.02156323	0.04363101	0.02488394	0.038496638	0.033534791	0.031444601	0.032614611	0.037543381	0.035439269	0.052978008	0.032827801	0.079408402	0.04215463	0.053102417	0.031862502
Ralstonia phage RSF1	0.157578029	0.076923081	0.161506578	0.058838275	0	0.044890324	0.010785789	0	0.029381464	0.014050765	0	0	0.023956244	0.027032324	0.015523227	0.015817068	0	0	0	0.025486237	0.058701527	0.046973562	0.031430086	0	0	0.015556755	0	0.011796121	0	0	0	0.014702548	0	0	0.009858363	0.012514231	0.014619569	0	0	0.01345105
Ralstonia phage RSL1	0.114602203	0.064102567	0.073412081	0.176514826	0.100803519	0.089780647	0.08628631	0.061782522	0.117525855	0.11240612	0.103321125	0.106648116	0.071868732	0.067580809	0.077616133	0.126536543	0.062500976	0.110724271	0.064457995	0.038229355	0.03354373	0.109604977	0.047145129	0.088991103	0.102435732	0.062227021	0.056197391	0.047184484	0.042888707	0.067482204	0.049625845	0.102917834	0.027961171	0.08206462	0.049291816	0.062571157	0.116956549	0.055409383	0.08078413	0.067255252
Ralstonia phage RSL2	0.100276928	0.051282054	0.073412081	0.058838275	0.014400503	0.014963441	0.010785789	0.012356504	0.014690732	0.014050765	0.012915141	0	0.035934366	0.027032324	0.015523227	0.031634136	0	0	0.038674797	0.025486237	0.050315595	0.031315708	0.031430086	0.088991103	0.011381748	0.015556755	0.014049348	0.011796121	0	0.013496441	0	0.014702548	0.027961171	0	0.009858363	0	0.014619569	0	0.013464022	0.01345105
