species	Disease_outcome	effect	group	D.0.1	D.0.2	D.0.3	D.0.5	D.3.1	D.3.2	D.3.3	D.3.5	D.4.1	D.4.2	D.4.3	D.4.5	D.5.1	D.5.2	D.5.3	D.5.5	D.6.1	D.6.2	D.6.3	D.6.5
Achromobacter phage 83-24	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0.003690037	0.003448276	0.007380074	0.003690037	0	0	0.007380074	0	0	0.02189846	0.003690037	0	0.003448276	0	0
Achromobacter phage JWF	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.112044052	0.068602694	0.057063692	0.07276936	0.002083333	0.001122334	0.001122334	0	0	0.001122334	0	0	0	0.001122334	0.003205668	0	0	0	0.002083333	0
Achromobacter phage phiAxp-3	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.011267606	0.002816901	0.01708751	0.017645815	0	0	0	0	0.002816901	0	0	0	0	0	0	0	0.002816901	0	0.002816901	0.002816901
Achromobacter xylosoxidans	Diseased	Primary-bacterial-effect	inhibitor_bacteria	4.327435605	2.098746772	2.29494226	2.615341063	3.945345071	2.74706815	3.102723541	3.376446414	3.159574983	3.136645371	3.592862269	2.995375803	3.184888402	2.937837318	4.383942452	3.179205912	2.857628179	3.23100638	3.289752717	3.126129128
Aeromonas hydrophila	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.439928628	0.241861661	0.234011027	0.291137518	0.363801725	0.210847907	0.258660533	0.324459249	0.270992562	0.270923732	0.266653705	0.225866184	0.29499647	0.270886072	0.501386954	0.232797832	0.336291198	0.277082396	0.249574257	0.200059038
Aeromonas phage Aes508	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.012307692	0.006153846	0	0.009230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas phage pAh6-C	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas salmonicida	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.166938461	0.068594196	0.069109878	0.093889451	0.160773505	0.128654472	0.143167918	0.172269029	0.186734446	0.207696432	0.180994709	0.183672138	0.142632407	0.160429411	0.242199033	0.228649304	0.150590062	0.180259541	0.225816524	0.244815679
Arthrobacter phage Brent	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.033234435	0.003717472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003154574	0
Arthrobacter phage Decurro	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.003773585	0.003115265	0	0	0.027173422	0.022062005	0.044049434	0.019384317	0.025376752	0.025295065	0.027633699	0.027255096	0.009697711	0.029214126	0.026086592	0.035627602	0.009697711	0.01418979	0.029697042	0.044483625
Arthrobacter phage vB_ArtM-ArV1	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.021850176	0.010130515	0.010150728	0.014660532	0.021837913	0.022897938	0.006385696	0.022616968	0.034872915	0.025081095	0.015398461	0.012771392	0.025579179	0.027173684	0.033522985	0.023803956	0.023206877	0.019229878	0.020081724	0.012807787
Arthrobacter sp.	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0	0.00952381	0	0.00952381	0	0	0	0	0	0	0	0	0	0	0.004761905	0	0	0	0.004761905	0
Bacillus phage BigBertha	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.007936508	0.007936508	0.007936508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus phage Hoody T	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.016806723	0	0.00280112	0.008403361	0	0	0	0	0	0.00280112	0	0	0	0	0	0	0	0	0.00280112	0
Bacillus thuringiensis	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.849927164	0.1461288	7.550997994	0.120141606	0.319773602	0.196766419	0.608808402	0.25734258	0.246042858	0.264011942	0.286362694	0.215317881	0.269928783	0.245232897	0.268533598	0.500939413	0.462750026	0.286033264	0.2175887	0.295661666
Bdellovibrio bacteriovorus	Diseased	Primary-bacterial-effect	inhibitor_bacteria	1.503731971	0.696802597	0.665829115	0.643064832	1.73318779	1.283323619	1.388983251	1.596805904	1.387156295	1.57104164	1.704584241	1.505564281	1.557292843	1.652552269	2.177796297	1.51031162	1.453821066	1.531838911	1.577026774	1.615944612
Bdellovibrio phage phi1422	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0.003731343	0	0	0	0.007462687	0.003731343	0.003731343	0.01119403	0.003731343	0.003731343	0.003731343	0	0.007462687	0
