species	Disease_outcome	effect	group	H.0.2	H.0.3	H.0.4	H.0.5	H.3.2	H.3.3	H.3.4	H.3.5	H.4.2	H.4.3	H.4.4	H.4.5	H.5.2	H.5.3	H.5.4	H.5.5	H.6.2	H.6.3	H.6.4	H.6.5
Achromobacter phage 83-24	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.007380074	0	0.014760148	0	0	0.003690037	0	0	0	0	0.007138313	0	0.014760148	0	0.003448276	0
Achromobacter phage JWF	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.054496352	0.048407688	0.052574355	0.051129349	0	0.001122334	0.005289001	0.0125	0	0	0	0	0	0.002083333	0	0.002083333	0.003205668	0.005611672	0	0.002083333
Achromobacter phage phiAxp-2	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0.003225806	0	0	0	0	0	0	0	0	0	0.007692308	0	0	0	0	0	0	0
Achromobacter phage phiAxp-3	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.005633803	0.002816901	0.011267606	0.005633803	0.011267606	0	0.002816901	0.002816901	0	0.002816901	0	0	0	0	0	0	0.005633803	0	0.002816901	0.002816901
Achromobacter xylosoxidans	Healthy	Primary-bacterial-effect	inhibitor_bacteria	2.629660795	3.057598697	2.59458653	2.758384308	3.12692359	2.948197769	4.274221493	3.79511548	2.817190302	3.050815257	3.331799613	2.863542104	3.456458607	3.316419973	2.571402997	2.509392164	3.563763135	3.764437431	3.547062287	3.290987517
Acinetobacter baumannii	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.484918621	0.557122116	0.539094092	0.567522954	0.689302282	0.647683784	0.86800097	0.80923128	0.620453719	0.719422028	0.687034471	0.700184725	0.816353977	0.663733266	0.513205284	0.589228123	0.799348579	0.74709548	0.762973698	0.8029585
Acinetobacter phage YMC13/03/R2096	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0.00872093	0.011627907	0.005813953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas hydrophila	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.285065036	0.304209051	0.313204127	0.216293894	0.251141951	0.278913077	0.358706933	0.239507117	0.311530042	0.300205862	0.232006197	0.276183128	0.35328262	0.370756246	0.296424935	0.22658466	0.359600481	0.390925785	0.295873607	0.333593203
Aeromonas phage pAh6-C	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.002570694	0	0.007712082	0.002570694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrobacter phage Brent	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0.011152416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrobacter phage Decurro	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0.008810573	0	0	0.039095468	0.020815089	0.046299568	0.032779646	0.034612299	0.048127628	0.054583713	0.025399098	0.045215236	0.043274063	0.007462687	0.059684062	0.039320948	0.035272045	0.03699968	0.021685677
Arthrobacter phage vB_ArtM-ArV1	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.015112613	0.01572106	0.006752137	0.022755065	0.012844182	0.016639205	0.019605533	0.00769923	0.01878555	0.044900466	0.032636002	0.008939974	0.030507018	0.023623237	0.020008933	0.03743571	0.016819507	0.014827586	0.033949536	0.01741826
Arthrobacter sp.	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.004761905	0.004761905	0	0.004761905	0	0	0	0.014285714	0	0	0.004761905	0	0	0	0	0	0.004761905	0	0	0
Bacillus phage CAM003	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.003952569	0.007905138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus phage SIOphi	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0.003546099	0.007092199	0	0	0.003546099	0	0	0	0.003546099	0	0	0	0	0	0.003546099	0.003546099	0	0	0
Bacillus subtilis	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.106377414	0.087965094	0.124941771	0.136713693	0.198995744	0.155775773	0.231355793	0.16131337	0.18205556	0.142556363	0.180351106	0.184465702	0.266225186	0.14006445	0.249799641	0.116030855	0.177425147	0.200553202	0.243962715	0.159422544
Bacillus thuringiensis	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.209127095	0.123288914	0.195290344	0.128461999	0.24379657	0.223909184	0.264863108	0.345912648	0.240127819	0.330857757	0.400647051	0.257496508	0.305264569	0.304242394	3.221397552	1.647642698	0.547439798	0.947736764	0.810499186	0.561927984
Bdellovibrio bacteriovorus	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.864320087	0.909308928	0.622877203	0.789814155	1.430522196	1.469225784	2.071543286	1.662532772	1.487557492	1.283394846	1.687978627	1.37350301	1.62576677	1.549373199	1.197574349	1.351332496	1.6805965	1.824176898	1.593467451	1.840547347
Bdellovibrio phage phi1422	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.007462687	0.003731343	0.003731343	0.01119403	0.01119403	0	0	0	0	0.01119403	0.007462687	0.003731343	0	0.003731343	0	0.003731343
Brucella melitensis	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.040361942	0.060643102	0.042512523	0.033577664	0.049310401	0.047355305	0.059621937	0.056006771	0.033781442	0.060017613	0.05092965	0.021352246	0.024248694	0.034887267	0.023099864	0.044255042	0.058154512	0.04749271	0.040871959	0.054077829
Brucella phage Pr	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.010791367	0.003597122	0.007194245	0.001798561	0	0	0.005395683	0.003597122	0.003597122	0.003597122	0	0	0	0	0	0	0	0.001798561	0.001798561	0.001798561
Burkholderia cenocepacia	Healthy	Primary-bacterial-effect	inhibitor_bacteria	3.38576316	3.59795679	3.075629605	3.065198826	3.707571733	3.758140579	4.899855211	4.424387516	3.573543062	3.621151839	4.189306051	3.562509717	4.582594465	3.708455447	3.02998188	3.140461673	4.348633902	4.296219529	4.177976158	4.2964411
Burkholderia phage JG068	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0.002923977	0	0	0	0	0	0.002923977	0	0	0	0	0	0	0	0	0	0	0
Candidatus Puniceispirillum marinum	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.399919035	0.380501646	0.352470435	0.393493393	0.531328494	0.591086476	0.775843582	0.680696713	0.598102667	0.613051804	0.549560094	0.471842532	0.725956583	0.613842242	0.521888686	0.362126622	0.711959006	0.689528571	0.711907611	0.724009805
Cellulophaga baltica	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.093419322	0.091690301	0.128390538	0.099986695	0.213447159	0.185004661	0.283029537	0.233596155	0.182452243	0.155998532	0.18915976	0.168029504	0.210323885	0.245937828	0.154562953	0.169016545	0.173899636	0.167061176	0.257362963	0.290689896
Cellulophaga phage phi38:1	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.007352407	0.010883384	0	0.00929368	0.010531814	0.007000838	0.014001675	0	0.001776199	0.010553235	0.007000838	0.005224639	0.00344844	0.010033445	0.010449277	0.008859574	0.001776199	0.011913602	0.006896879	0
Clavibacter michiganensis	Healthy	Primary-bacterial-effect	facilitator_bacteria	2.399185328	1.204842595	1.054531543	0.802643037	0.576283358	0.532416452	0.597188174	0.844460838	0.387915674	0.37156759	0.77116654	1.083544475	0.633327474	0.42174662	0.451254652	0.334113464	0.518538197	1.79096921	0.705866519	1.100682426
Clavibacter phage CN1A	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.021688625	0.0570105	0.012168132	0.02010571	0	0	0.003521127	0	0	0	0.003514938	0	0	0.008787346	0	0	0	0	0.004484305	0
Cronobacter phage CR9	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.022705474	0.010526316	0.025957634	0.030647343	0.007968631	0.002105263	0	0	0.004237288	0	0	0	0	0	0	0	0.003424658	0	0.006849315	0
Cronobacter phage Dev-CD-23823	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.003508772	0.007017544	0.01754386	0	0	0	0.003508772	0	0	0	0.003508772	0	0.010526316	0.007017544	0	0.007017544	0.010526316	0	0	0.003508772
Cronobacter phage S13	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.017592485	0.026461664	0	0.010964912	0.004385965	0.002192982	0	0	0	0	0	0	0	0.003861004	0	0	0.002192982	0	0	0
Cronobacter phage vB_CsaM_GAP31	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.006006006	0.009950249	0.006006006	0	0.020329764	0.003003003	0.003003003	0	0.003003003	0	0	0.006006006	0	0.003003003	0.011320755	0.006006006	0.003773585	0.003003003	0	0.003003003
Cronobacter phage vB_CsaM_GAP32	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.012706186	0.009722222	0.011769759	0.004166667	0	0.002985075	0	0	0.002985075	0	0	0	0	0.002985075	0.014925373	0	0	0.004373964	0	0.011940299
Cronobacter phage vB_CsaP_Ss1	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.011414392	0.00248139	0.008188586	0.005707196	0.003802281	0	0	0.004618938	0.007604563	0	0.010730688	0	0.012314798	0.016155623	0.026659842	0.007604563	0.01017725	0.0122235	0.012314798	0
Cronobacter sakazakii	Healthy	Primary-bacterial-effect	facilitator_bacteria	0.053588935	0.065601543	0.045188029	0.057137938	0.073957092	0.127675268	0.187670355	0.091630922	0.129391518	0.079766685	0.140063882	0.107953495	0.186216642	0.15623064	0.18888966	0.169993392	0.151089876	0.198664992	0.168901136	0.199272636
Cronobacter turicensis	Healthy	Primary-bacterial-effect	facilitator_bacteria	0.012996737	0.02454698	0.011111111	0.040556396	0.020976764	0.019294102	0.03865287	0.011417033	0.014854473	0.011583012	0.008032129	0.010838409	0	0.023926475	0.00297619	0.013196709	0.019136801	0.008955384	0.02190002	0.012456907
Cyanophage 9515-10a	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.008441602	0.005803079	0.005277045	0.011080124	0.005277045	0	0.011606159	0	0.023212318	0.011606159	0.002638522	0.008441602	0.005803079	0.008441602	0.017409238	0.016883204
Cyanophage KBS-S-2A	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.006980803	0.006980803	0.005235602	0.006980803	0.013089005	0.013961606	0.006108202	0.001745201	0.006108202	0.002617801	0.005235602	0.001745201	0.013961606	0.005235602	0.005235602	0.013961606
Cyanophage NATL2A-133	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0	0	0	0	0.003861004	0	0	0	0	0	0	0	0.003861004	0
Cyanophage P-RSM6	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.019678991	0.062493697	0.033863877	0.015069096	0.001618123	0	0.003448276	0	0.006815279	0.006896552	0.006896552	0	0.003448276	0	0	0.005066399	0	0	0.001683502	0.003448276
