source	target	p	cov	Disease_outcome	effect	group	group_type	source_type	tense	class
Achromobacter phage 83-24	Achromobacter xylosoxidans	0	-0.009456457	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.009456457	-1
Achromobacter phage JWF	Achromobacter xylosoxidans	0	-0.004790443	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.004790443	-1
Achromobacter phage phiAxp-3	Achromobacter xylosoxidans	0	-0.003172915	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.003172915	-1
Aeromonas phage Aes508	Aeromonas salmonicida	0.024	-0.012326796	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.012326796	-1
Aeromonas phage pAh6-C	Aeromonas hydrophila	0.002	-0.039602338	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.039602338	-1
Arthrobacter phage Brent	Arthrobacter sp.	0	-0.003091249	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.003091249	-1
Arthrobacter phage Decurro	Arthrobacter sp.	0	-0.009931856	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.009931856	-1
Arthrobacter phage vB_ArtM-ArV1	Arthrobacter sp.	0	-0.007037879	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.007037879	-1
Bacillus phage BigBertha	Bacillus thuringiensis	0	-0.017166355	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.017166355	-1
Bacillus phage Hoody T	Bacillus thuringiensis	0	-0.00121428	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.00121428	-1
Bdellovibrio phage phi1422	Bdellovibrio bacteriovorus	0.016	-0.012534468	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.012534468	-1
Brucella phage Tb	Brucella abortus	0	0.001137592	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.001137592	1
Burkholderia phage BcepB1A	Burkholderia cepacia	0	0.00291192	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.00291192	1
Burkholderia phage BcepGomr	Burkholderia cepacia	0	-0.006244666	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.006244666	-1
Burkholderia phage BcepNazgul	Burkholderia cepacia	0	0.009721913	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.009721913	1
Burkholderia phage JG068	Burkholderia cenocepacia	0	0.002466599	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.002466599	1
Caulobacter phage Cd1	Caulobacter vibrioides	0	-0.003158329	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.003158329	-1
Caulobacter phage Cr30	Caulobacter vibrioides	0	0.002752252	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.002752252	1
Celeribacter phage P12053L	Celeribacter marinus	0	-0.004807588	Diseased	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.004807588	-1
Cronobacter phage CR8	Cronobacter sakazakii	0	-0.008807651	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.008807651	-1
Cronobacter phage CR9	Cronobacter sakazakii	0.003	-0.019719747	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.019719747	-1
Cronobacter phage Dev-CD-23823	Cronobacter turicensis	0	-0.023652451	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.023652451	-1
Cronobacter phage S13	Cronobacter sakazakii	0.047	-0.021163863	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.021163863	-1
Cronobacter phage vB_CsaM_GAP161	Cronobacter sakazakii	0	0.006558869	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.006558869	1
Cronobacter phage vB_CsaM_GAP31	Cronobacter sakazakii	0.025	-0.002143906	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.002143906	-1
Cronobacter phage vB_CsaM_GAP32	Cronobacter sakazakii	0	-0.000752786	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.000752786	-1
Cronobacter phage vB_CsaP_Ss1	Cronobacter sakazakii	0	-0.002205851	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.002205851	-1
Cyanophage 9515-10a	Prochlorococcus marinus	0	-0.013529647	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.013529647	-1
Cyanophage KBS-S-2A	Synechococcus sp. WH 7803	0	-0.009762357	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.009762357	-1
Cyanophage NATL2A-133	Prochlorococcus marinus	0	-0.013968444	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.013968444	-1
Cyanophage S-TIM5	Synechococcus sp. WH 8102	0	-0.013221997	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.013221997	-1
Delftia phage IME-DE1	Delftia sp. 670	0	-0.011949423	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.011949423	-1
Edwardsiella phage MSW-3	Edwardsiella tarda	0.003	-0.034137259	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.034137259	-1
Enterobacter phage Enc34	Enterobacter cancerogenus	0	-0.000302071	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.000302071	-1
Enterococcus phage ECP3	Enterococcus faecalis	0.038	-0.006654733	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.006654733	-1
Gordonia phage GMA3	Gordonia malaquae	0	-0.010458388	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.010458388	-1
Gordonia phage GMA6	Gordonia malaquae	0	0.007531447	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.007531447	1
Gordonia phage GTE7	Gordonia malaquae	0	0.004146004	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.004146004	1
Klebsiella phage JD001	Klebsiella pneumoniae	0	-0.004769755	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.004769755	-1
Klebsiella phage vB_KpnP_IME205	Klebsiella pneumoniae	0	-0.006816448	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.006816448	-1
Lactococcus phage P118	Lactococcus lactis	0.002	-0.042020416	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.042020416	-1
Lactococcus phage P162	Lactococcus lactis	0	-0.015749623	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.015749623	-1
Microbacterium phage vB_MoxS-ISF9	Microbacterium oxydans	0	0.002561013	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.002561013	1
Nocardia phage NBR1	Nocardia brasiliensis	0	-0.000882336	Diseased	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.000882336	-1
Prochlorococcus phage P-HM2	Prochlorococcus marinus	0	-0.00671104	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.00671104	-1
Prochlorococcus phage P-SSM2	Prochlorococcus marinus	0	-0.02243497	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.02243497	-1
Prochlorococcus phage P-SSM7	Prochlorococcus marinus	0	-0.014234498	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.014234498	-1
Prochlorococcus phage Syn33	Synechococcus sp. WH 7803	0	-0.004358248	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.004358248	-1
Pseudoalteromonas phage H101	Pseudoalteromonas marina	0	-0.002424685	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.002424685	-1
Pseudoalteromonas Phage H103	Pseudoalteromonas marina	0	0.000880552	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.000880552	1
Pseudoalteromonas phage RIO-1	Pseudoalteromonas marina	0	-0.020966034	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.020966034	-1
Pseudomonas phage UFV-P2	Pseudomonas fluorescens	0	-0.001222091	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.001222091	-1
Rhizobium phage vB_RglS_P106B	Rhizobium gallicum	0	-0.016775219	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.016775219	-1
Rhodobacter phage RcTitan	Rhodobacter capsulatus	0	-0.01193327	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.01193327	-1
Rhodothermus phage RM378	Rhodothermus marinus	0	-0.004701725	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.004701725	-1
