source	target	p	cov	Disease_outcome	effect	group	group_type	source_type	tense	class
Achromobacter phage 83-24	Achromobacter xylosoxidans	0	-0.009240852	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.009240852	-1
Achromobacter phage JWF	Achromobacter xylosoxidans	0.008	-0.004872083	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.004872083	-1
Achromobacter phage phiAxp-2	Achromobacter xylosoxidans	0	0.004814795	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.004814795	1
Achromobacter phage phiAxp-3	Achromobacter xylosoxidans	0	0.008172086	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.008172086	1
Acinetobacter phage YMC13/03/R2096	Acinetobacter baumannii	0	0.007481912	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.007481912	1
Aeromonas phage pAh6-C	Aeromonas hydrophila	0.029	-0.009403299	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.009403299	-1
Arthrobacter phage Brent	Arthrobacter sp.	0	0.004073352	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.004073352	1
Arthrobacter phage Decurro	Arthrobacter sp.	0	-0.012348375	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.012348375	-1
Arthrobacter phage vB_ArtM-ArV1	Arthrobacter sp.	0.007	-0.009838368	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.009838368	-1
Bacillus phage CAM003	Bacillus thuringiensis	0	-0.031430837	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.031430837	-1
Bacillus phage SIOphi	Bacillus subtilis	0	0.025626416	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.025626416	1
Bdellovibrio phage phi1422	Bdellovibrio bacteriovorus	0.001	0.003550634	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.003550634	1
Brucella phage Pr	Brucella melitensis	0.039	0.000551955	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.000551955	1
Burkholderia phage JG068	Burkholderia cenocepacia	0	-0.016544704	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.016544704	-1
Cellulophaga phage phi38:1	Cellulophaga baltica	0	-0.024050625	Healthy	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.024050625	-1
Clavibacter phage CN1A	Clavibacter michiganensis	0.004	-0.006190437	Healthy	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.006190437	-1
Cronobacter phage CR9	Cronobacter sakazakii	0	-0.008989519	Healthy	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.008989519	-1
Cronobacter phage Dev-CD-23823	Cronobacter turicensis	0	-0.006183314	Healthy	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.006183314	-1
Cronobacter phage S13	Cronobacter sakazakii	0	0.002766299	Healthy	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.002766299	1
Cronobacter phage vB_CsaM_GAP31	Cronobacter sakazakii	0	-0.026930775	Healthy	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.026930775	-1
Cronobacter phage vB_CsaM_GAP32	Cronobacter sakazakii	0	-0.018083877	Healthy	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.018083877	-1
