Sample	plant	time	disease_outcome	pathogen.density	bacteria.Shannon	vOTU.Shannon	Myoviridae	Podoviridae	Siphoviridae	Others	Ralstonia.phage.RSF1	Ralstonia.phage.RSL1	Ralstonia.phage.RSL2	Ralstonia.phage.RSJ5	Ralstonia.phage.RSK1	Ralstonia.phage.RSB3	Ralstonia.phage.P4282	Ralstonia.phage.RS138	Total.RSphage	COG1020	COG3321	NOG01415	ratio
H-0-2	H-2	0	H	6.2762	6.444586955	3.607065813	0.31451135	0.24154849	0.28629525	0.15764491	0.157578029	0.114602203	0.100276928	0	0.028650551	0	1.804984697	0	2.206092408	5.603009281	3.743888965	2.647588696	0.351501291864504
H-0-3	H-3	0	H	6.0897	6.461665046	3.625980386	0.362363524	0.247705692	0.261523133	0.128407651	0.076923081	0.064102567	0.051282054	0	0.03846154	0	1.551282131	0	1.782051373	7.099388465	4.596258317	3.139177282	0.292633688523244
H-0-4	H-4	0	H	6.1481	6.444424632	3.630117626	0.32577712	0.24590214	0.28466707	0.14365367	0.161506578	0.073412081	0.073412081	0.014682416	0.014682416	0.014682416	1.717842693	0	2.070220682	5.549387141	3.830300281	2.509066091	0.336725278053382
H-0-5	H-5	0	H	6.0133	6.449831088	3.54259799	0.383049071	0.223940377	0.273548068	0.119462484	0.058838275	0.176514826	0.058838275	0	0	0.014709569	1.647471709	0	1.956372654	5.473321994	3.879439296	2.521562229	0.325340936590558
H-3-2	H-2	3	H	6.4285	6.32354937	3.710612245	0.257272287	0.239075358	0.434240046	0.069412309	0	0.100803519	0.014400503	0	0.028801006	0	0.129604525	0.014400503	0.288010055	9.00590148	6.106638659	4.058228228	0.044802061911799
H-3-3	H-3	3	H	5.9092	6.322220932	3.673990071	0.251845083	0.237429602	0.442842002	0.067883313	0.044890324	0.089780647	0.014963441	0	0.029926882	0	0.179561295	0	0.35912259	8.818002723	6.251187993	4.122652276	0.0607734701820889
H-3-4	H-4	3	H	6.1172	6.321905146	3.625552751	0.25433048	0.23763528	0.44907629	0.05895795	0.010785789	0.08628631	0.010785789	0.010785789	0.032357366	0	0.08628631	0	0.237287352	12.05685924	8.207596219	5.364268415	0.0387901902831361
H-3-5	H-5	3	H	6.304	6.342818205	3.739957379	0.252182137	0.243506128	0.439221226	0.065090509	0	0.061782522	0.012356504	0	0.037069513	0.012356504	0.086495531	0	0.210060574	10.61374783	7.179944599	4.716607784	0.0333217915609137
H-4-2	H-2	4	H	6.3402	6.310025005	3.663091517	0.236823343	0.211842424	0.494103765	0.057230468	0.029381464	0.117525855	0.014690732	0	0.044072196	0	0.146907319	0.014690732	0.367268297	8.358073166	6.099543872	4.099805435	0.0579269261222043
H-4-3	H-3	4	H	6.4008	6.320272823	3.699991676	0.232004618	0.206554138	0.494249445	0.067191799	0.014050765	0.11240612	0.014050765	0	0.02810153	0	0.11240612	0	0.2810153	8.719942164	6.807933073	4.168799935	0.0439031527309086
H-4-4	H-4	4	H	6.1658	6.339400049	3.787515636	0.249884177	0.226416977	0.462229784	0.061469062	0	0.103321125	0.012915141	0.038745422	0.064575703	0	0.142066546	0	0.361623936	9.866211626	6.817227259	4.810602641	0.0586499620487204
H-4-5	H-5	4	H	6.0551	6.331858398	3.783911214	0.203186602	0.212950462	0.469680505	0.114182431	0	0.106648116	0	0	0.106648116	0	0.076177226	0.015235445	0.304708903	7.866220413	6.076463917	3.727567737	0.0503226871562815
H-5-2	H-2	5	H	6.4096	6.333952253	3.595914627	0.258078367	0.217632668	0.475767715	0.04852125	0.023956244	0.071868732	0.035934366	0	0.047912488	0	0.119781221	0.023956244	0.323409296	10.69448683	7.865432102	4.905922621	0.0504570169745382
H-5-3	H-3	5	H	6.3164	6.340705299	3.561046887	0.24156665	0.22078991	0.48566326	0.05198018	0.027032324	0.067580809	0.027032324	0.013516162	0	0.027032324	0.108129294	0	0.270323235	10.18732644	6.813629385	4.907833634	0.0427970418276233
H-5-4	H-4	5	H	6.3758	6.393068262	3.503127151	0.215602806	0.218357236	0.49029625	0.075743708	0.015523227	0.077616133	0.015523227	0	0.04656968	0	0.201801945	0	0.357034211	9.628752123	6.748786834	4.992679119	0.0559983391888077
H-5-5	H-5	5	H	6.3854	6.397590444	3.466485976	0.211857818	0.213937899	0.49980202	0.074402263	0.015817068	0.126536543	0.031634136	0.031634136	0.047451204	0.063268272	0.142353611	0	0.458694969	10.11757466	6.79592063	4.927791212	0.0718349624142575
