ID	H-0-2	H-0-3	H-0-4	H-0-5	H-3-2	H-3-3	H-3-4	H-3-5	H-4-2	H-4-3	H-4-4	H-4-5	H-5-2	H-5-3	H-5-4	H-5-5	H-6-2	H-6-3	H-6-4	H-6-5	D-0-1	D-0-2	D-0-3	D-0-5	D-3-1	D-3-2	D-3-3	D-3-5	D-4-1	D-4-2	D-4-3	D-4-5	D-5-1	D-5-2	D-5-3	D-5-5	D-6-1	D-6-2	D-6-3	D-6-5
vOTU1	33.71	39.75	0	0	18.63	21.29	32.44	0	0	0	16.97	0	503.81	353.4	1524.46	930.24	4675.36	3689.88	4316.93	4072.18	14.11	15.26	99.27	67.7	13.87	0	34.74	33.18	19.46	0	36.04	22.35	1128.44	998.38	857.07	847.15	27435.07	36975.74	36752.88	39991.86
vOTU10	17534.12	16676.55	11372.18	8887.15	30768.58	17974.87	12233.9	24934.25	3891.25	8102.46	17114.88	11172.53	10446.11	4104.17	2110.96	2158.91	3079.31	41496.06	8028.19	9894.62	59167.57	46165.48	24819.2	24101.94	22738.66	13351.99	23608.63	14360.15	13393.76	11368.14	14556.55	4994.43	35670.42	35840.28	58298.35	32903.8	18434.43	12058.26	14444.99	14341.79
vOTU11	47493.88	14177.1	17627.82	9250.47	10552.48	7139.03	1690.44	14449.94	403.45	1624.98	12672.26	28596.19	933.48	290.79	950.59	206.28	1284.83	38540.01	8501.51	22851.11	38067.42	35859.79	7242.18	19741.46	31755.2	1397.43	22734.49	9799.12	17322.55	1939.91	4554.7	465.8	16902.77	13918.8	35556.64	8446.73	58231.42	15469.05	17343.5	1903.68
vOTU12	195.38	124.06	182.89	199.81	32877.69	37371.06	40114.74	34820.54	37337.72	34158.22	35402.16	29986.93	35514.74	33936.45	22692.12	21073.87	37327.87	25808.85	33639.46	33171.69	198.19	244.91	212.45	407.5	33748.3	35640.27	30552.55	33800.86	33133.41	36397.56	41196.31	42923.02	33091.52	32235.16	24355.78	33247.33	27080.1	33691.38	36105.59	36449.58
vOTU13	66804.93	74269.48	74158.52	62826.33	466.33	248.68	865.89	657.6	5847.49	11422.78	4585.27	4953.11	756.46	465.47	749.94	759.46	152.34	278.01	251.23	132.69	82986.17	92325.57	118874.32	117629.7	647.92	465.27	666.49	913.45	681.71	583.25	541.17	894.73	202.74	287.18	441.13	678.4	192.31	580.23	1263.65	557.8
vOTU14	52347.79	12946.55	17066.45	7274.29	9463.85	6160.25	2111.43	15283.01	67.87	1151.58	13987.71	34629.29	1754.34	239.15	565.4	0	704.44	34950.09	12128.04	26817.67	39994.6	38474.83	6477.24	21379.6	30361.3	861.95	27273.47	8346.34	15010.78	1966.52	3562.42	179.57	16740.84	14385.64	37220.47	7651.68	57500.93	14856.48	18674.81	806.03
vOTU15	17052.14	16319.12	11845.58	8707.63	33352.08	19472.98	11999.83	25179.78	5387.29	9557.49	17902.26	11814.96	12001.25	5487.73	4199.68	3076.14	4549.8	42262.2	8714.66	11152.16	58026.62	42576.05	24513.23	25788.45	23274.54	13248.07	27695.22	15359.87	14916.04	13243.93	17259.52	6634.95	34835.06	38277.22	62757.03	32524.19	18924.48	15023.83	14530.56	14763.21
vOTU16	939.53	1393.84	1721.13	1087.95	33326.66	43770.18	46813.65	37878.62	42944.68	43112.76	37389.44	35966.64	42174.33	36124.86	27045.46	25573.4	41135.62	28190.44	35791.91	34627.15	1674.85	1234.73	2356.37	1232.65	34384	35589.03	30923.41	35267.59	50388.42	50609.6	51625.29	55696.7	28940.9	31527.78	21077.86	29432.98	27052.35	34366.19	41327.59	40134.39
vOTU17	9018.28	13334.88	11431.7	11381.2	29710.18	35987.21	37657.36	32982.47	32141.29	33512.03	31677.05	28372.16	37068.69	36157.76	25063.2	24450.36	45952.87	27934.14	43648.68	38727.62	11315.54	12294.77	16651.42	13876.58	31681.56	37566.47	29109	32331.57	34958.29	32061.97	39128.56	42318.53	30836.11	33003.2	23356.29	36309.72	29004.6	36674.07	36000.79	36778.46
vOTU18	68225.19	80713.38	71153.14	74564.07	255.84	918.84	477.17	386.55	5797.79	13038.66	5956.29	6764.51	461.13	401.29	613.33	698.75	465.66	863.78	393.81	249.59	87860.75	93129.44	130212.84	117675.73	870.54	1051.91	919.82	976.26	610.63	1028.53	1519.86	306.8	919.36	438.9	232.48	830.78	508.7	1005.25	844.08	1020.09
